# hyp_utils/conda_env.sh pack-wav-rirs.py --input data/rirs_smallroom/wav.scp --output h5,scp:/home/mkhelfi1/hyperion/egs/adc24/exp/rirs/rirs_smallroom/rirs_rirs_smallroom.h5,data/rirs_smallroom/rirs.scp 
# Started at Thu Apr 18 20:29:29 EDT 2024
#
Python 3.6.13 :: Anaconda, Inc.
2024-04-18 20:29:41,107 (pack-wav-rirs:41) INFO: Packing rir Room001-00001.wav h_max=0.032166 h_delay=77 h-length=2494
2024-04-18 20:29:41,113 (pack-wav-rirs:41) INFO: Packing rir Room001-00002.wav h_max=0.011658 h_delay=210 h-length=2161
2024-04-18 20:29:41,119 (pack-wav-rirs:41) INFO: Packing rir Room001-00003.wav h_max=0.035706 h_delay=77 h-length=2101
2024-04-18 20:29:41,125 (pack-wav-rirs:41) INFO: Packing rir Room001-00004.wav h_max=0.014221 h_delay=215 h-length=2547
2024-04-18 20:29:41,130 (pack-wav-rirs:41) INFO: Packing rir Room001-00005.wav h_max=0.028595 h_delay=116 h-length=2339
2024-04-18 20:29:41,134 (pack-wav-rirs:41) INFO: Packing rir Room001-00006.wav h_max=0.017242 h_delay=214 h-length=2108
2024-04-18 20:29:41,162 (pack-wav-rirs:41) INFO: Packing rir Room001-00007.wav h_max=0.015411 h_delay=221 h-length=2218
2024-04-18 20:29:41,194 (pack-wav-rirs:41) INFO: Packing rir Room001-00008.wav h_max=0.025055 h_delay=100 h-length=2577
2024-04-18 20:29:41,211 (pack-wav-rirs:41) INFO: Packing rir Room001-00009.wav h_max=0.015869 h_delay=199 h-length=2179
2024-04-18 20:29:41,235 (pack-wav-rirs:41) INFO: Packing rir Room001-00010.wav h_max=0.036255 h_delay=103 h-length=1893
2024-04-18 20:29:41,257 (pack-wav-rirs:41) INFO: Packing rir Room001-00011.wav h_max=0.022278 h_delay=164 h-length=2386
2024-04-18 20:29:41,283 (pack-wav-rirs:41) INFO: Packing rir Room001-00012.wav h_max=0.029022 h_delay=120 h-length=2430
2024-04-18 20:29:41,304 (pack-wav-rirs:41) INFO: Packing rir Room001-00013.wav h_max=0.031799 h_delay=82 h-length=1805
2024-04-18 20:29:41,323 (pack-wav-rirs:41) INFO: Packing rir Room001-00014.wav h_max=0.013855 h_delay=192 h-length=2304
2024-04-18 20:29:41,343 (pack-wav-rirs:41) INFO: Packing rir Room001-00015.wav h_max=0.018707 h_delay=169 h-length=2298
2024-04-18 20:29:41,375 (pack-wav-rirs:41) INFO: Packing rir Room001-00016.wav h_max=0.017792 h_delay=159 h-length=2390
2024-04-18 20:29:41,397 (pack-wav-rirs:41) INFO: Packing rir Room001-00017.wav h_max=0.016846 h_delay=220 h-length=2362
2024-04-18 20:29:41,427 (pack-wav-rirs:41) INFO: Packing rir Room001-00018.wav h_max=0.023224 h_delay=150 h-length=2385
2024-04-18 20:29:41,455 (pack-wav-rirs:41) INFO: Packing rir Room001-00019.wav h_max=0.030334 h_delay=104 h-length=2535
2024-04-18 20:29:41,485 (pack-wav-rirs:41) INFO: Packing rir Room001-00020.wav h_max=0.013580 h_delay=181 h-length=2185
2024-04-18 20:29:41,512 (pack-wav-rirs:41) INFO: Packing rir Room001-00021.wav h_max=0.014984 h_delay=169 h-length=2285
2024-04-18 20:29:41,531 (pack-wav-rirs:41) INFO: Packing rir Room001-00022.wav h_max=0.011017 h_delay=216 h-length=2386
2024-04-18 20:29:41,555 (pack-wav-rirs:41) INFO: Packing rir Room001-00023.wav h_max=0.023682 h_delay=146 h-length=2266
2024-04-18 20:29:41,575 (pack-wav-rirs:41) INFO: Packing rir Room001-00024.wav h_max=0.040161 h_delay=92 h-length=1887
2024-04-18 20:29:41,606 (pack-wav-rirs:41) INFO: Packing rir Room001-00025.wav h_max=0.030365 h_delay=98 h-length=2436
2024-04-18 20:29:41,631 (pack-wav-rirs:41) INFO: Packing rir Room001-00026.wav h_max=0.015961 h_delay=233 h-length=2426
2024-04-18 20:29:41,655 (pack-wav-rirs:41) INFO: Packing rir Room001-00027.wav h_max=0.042023 h_delay=88 h-length=2474
2024-04-18 20:29:41,677 (pack-wav-rirs:41) INFO: Packing rir Room001-00028.wav h_max=0.023407 h_delay=119 h-length=2332
2024-04-18 20:29:41,706 (pack-wav-rirs:41) INFO: Packing rir Room001-00029.wav h_max=0.047180 h_delay=75 h-length=2459
2024-04-18 20:29:41,737 (pack-wav-rirs:41) INFO: Packing rir Room001-00030.wav h_max=0.017975 h_delay=135 h-length=2325
2024-04-18 20:29:41,773 (pack-wav-rirs:41) INFO: Packing rir Room001-00031.wav h_max=0.028564 h_delay=116 h-length=2528
2024-04-18 20:29:41,815 (pack-wav-rirs:41) INFO: Packing rir Room001-00032.wav h_max=0.021301 h_delay=171 h-length=2253
2024-04-18 20:29:41,843 (pack-wav-rirs:41) INFO: Packing rir Room001-00033.wav h_max=0.022705 h_delay=156 h-length=2245
2024-04-18 20:29:41,883 (pack-wav-rirs:41) INFO: Packing rir Room001-00034.wav h_max=0.013275 h_delay=221 h-length=2133
2024-04-18 20:29:41,927 (pack-wav-rirs:41) INFO: Packing rir Room001-00035.wav h_max=0.028717 h_delay=96 h-length=2435
2024-04-18 20:29:41,971 (pack-wav-rirs:41) INFO: Packing rir Room001-00036.wav h_max=0.017456 h_delay=151 h-length=2398
2024-04-18 20:29:42,013 (pack-wav-rirs:41) INFO: Packing rir Room001-00037.wav h_max=0.016296 h_delay=225 h-length=2244
2024-04-18 20:29:42,058 (pack-wav-rirs:41) INFO: Packing rir Room001-00038.wav h_max=0.064148 h_delay=44 h-length=1783
2024-04-18 20:29:42,078 (pack-wav-rirs:41) INFO: Packing rir Room001-00039.wav h_max=0.010681 h_delay=229 h-length=2177
2024-04-18 20:29:42,115 (pack-wav-rirs:41) INFO: Packing rir Room001-00040.wav h_max=0.032043 h_delay=78 h-length=1972
2024-04-18 20:29:42,139 (pack-wav-rirs:41) INFO: Packing rir Room001-00041.wav h_max=0.023773 h_delay=142 h-length=2495
2024-04-18 20:29:42,144 (pack-wav-rirs:41) INFO: Packing rir Room001-00042.wav h_max=0.017761 h_delay=206 h-length=2230
2024-04-18 20:29:42,149 (pack-wav-rirs:41) INFO: Packing rir Room001-00043.wav h_max=0.021484 h_delay=166 h-length=2483
2024-04-18 20:29:42,154 (pack-wav-rirs:41) INFO: Packing rir Room001-00044.wav h_max=0.043640 h_delay=63 h-length=1994
2024-04-18 20:29:42,160 (pack-wav-rirs:41) INFO: Packing rir Room001-00045.wav h_max=0.019348 h_delay=186 h-length=2171
2024-04-18 20:29:42,177 (pack-wav-rirs:41) INFO: Packing rir Room001-00046.wav h_max=0.032104 h_delay=86 h-length=1969
2024-04-18 20:29:42,185 (pack-wav-rirs:41) INFO: Packing rir Room001-00047.wav h_max=0.032166 h_delay=117 h-length=2018
2024-04-18 20:29:42,192 (pack-wav-rirs:41) INFO: Packing rir Room001-00048.wav h_max=0.026947 h_delay=117 h-length=2397
2024-04-18 20:29:42,198 (pack-wav-rirs:41) INFO: Packing rir Room001-00049.wav h_max=0.026917 h_delay=139 h-length=2352
2024-04-18 20:29:42,203 (pack-wav-rirs:41) INFO: Packing rir Room001-00050.wav h_max=0.027344 h_delay=132 h-length=2448
2024-04-18 20:29:42,208 (pack-wav-rirs:41) INFO: Packing rir Room001-00051.wav h_max=0.016541 h_delay=227 h-length=2574
2024-04-18 20:29:42,212 (pack-wav-rirs:41) INFO: Packing rir Room001-00052.wav h_max=0.018799 h_delay=155 h-length=2477
2024-04-18 20:29:42,217 (pack-wav-rirs:41) INFO: Packing rir Room001-00053.wav h_max=0.022003 h_delay=120 h-length=2336
2024-04-18 20:29:42,223 (pack-wav-rirs:41) INFO: Packing rir Room001-00054.wav h_max=0.033142 h_delay=102 h-length=1807
2024-04-18 20:29:42,228 (pack-wav-rirs:41) INFO: Packing rir Room001-00055.wav h_max=0.039978 h_delay=93 h-length=1926
2024-04-18 20:29:42,232 (pack-wav-rirs:41) INFO: Packing rir Room001-00056.wav h_max=0.021942 h_delay=119 h-length=2369
2024-04-18 20:29:42,237 (pack-wav-rirs:41) INFO: Packing rir Room001-00057.wav h_max=0.013245 h_delay=226 h-length=2310
2024-04-18 20:29:42,242 (pack-wav-rirs:41) INFO: Packing rir Room001-00058.wav h_max=0.029449 h_delay=115 h-length=2368
2024-04-18 20:29:42,257 (pack-wav-rirs:41) INFO: Packing rir Room001-00059.wav h_max=0.016815 h_delay=204 h-length=2167
2024-04-18 20:29:42,265 (pack-wav-rirs:41) INFO: Packing rir Room001-00060.wav h_max=0.036804 h_delay=139 h-length=1881
2024-04-18 20:29:42,270 (pack-wav-rirs:41) INFO: Packing rir Room001-00061.wav h_max=0.019958 h_delay=126 h-length=2497
2024-04-18 20:29:42,275 (pack-wav-rirs:41) INFO: Packing rir Room001-00062.wav h_max=0.022369 h_delay=114 h-length=2451
2024-04-18 20:29:42,280 (pack-wav-rirs:41) INFO: Packing rir Room001-00063.wav h_max=0.027557 h_delay=112 h-length=2486
2024-04-18 20:29:42,286 (pack-wav-rirs:41) INFO: Packing rir Room001-00064.wav h_max=0.019836 h_delay=120 h-length=2345
2024-04-18 20:29:42,290 (pack-wav-rirs:41) INFO: Packing rir Room001-00065.wav h_max=0.041687 h_delay=134 h-length=2009
2024-04-18 20:29:42,295 (pack-wav-rirs:41) INFO: Packing rir Room001-00066.wav h_max=0.012787 h_delay=190 h-length=2270
2024-04-18 20:29:42,301 (pack-wav-rirs:41) INFO: Packing rir Room001-00067.wav h_max=0.025024 h_delay=118 h-length=2676
2024-04-18 20:29:42,306 (pack-wav-rirs:41) INFO: Packing rir Room001-00068.wav h_max=0.016846 h_delay=215 h-length=2172
2024-04-18 20:29:42,311 (pack-wav-rirs:41) INFO: Packing rir Room001-00069.wav h_max=0.023041 h_delay=149 h-length=2616
